2014 WA Senate Election Senate Candidates [Please Note: These results are not final. Event:17875 Phase:PostElection Generated:2014-05-01T15:05:58 Cycle:3d971857-c68b-4930-b2e7-7f7a271e3b23 Created:2014-05-01T15:05:42 Environment:PROD Site:CDC Server:DB01 Version:9.1.9.16053]
StateAb,PartyAb,PartyNm,CandidateID,Surname,GivenNm,Elected,HistoricElected
WA,PIR,Pirate Party,25297,ALLEN,Michelle,N,N
WA,RPA,Republican Party of Australia,25350,ANDERSON,Marcus,N,N
WA,ALP,Australian Labor Party,25331,ANDRIC,Klara,N,N
WA,TCS,Freedom and Prosperity Party,25339,ASHBY,Leon,N,N
WA,SAL,Socialist Alliance,25287,BAINBRIDGE,Alex,N,N
WA,RUA,Rise Up Australia Party,25283,BENNETT,Joanne,N,N
WA,BAP,Building Australia Party,25344,BEZANT,Ken,N,N
WA,SPP,#Sustainable Population Party,25355,BOURKE,William,N,N
WA,KAP,Katter's Australian Party,25348,BOUWMAN,Phillip,N,N
WA,ASP,Shooters and Fishers,25316,BOW,Murray,N,N
WA,PIR,Pirate Party,25296,BOYD,Fletcher,N,N
WA,LP,Liberal,25301,BROCKMAN,Slade,N,N
WA,ALP,Australian Labor Party,25328,BULLOCK,Joe,N,N
WA,VCE,Australian Voice Party,25291,BUTLER,Sean,N,N
WA,LP,Liberal,25299,CASH,Michaelia,N,Y
WA,BRP,Mutual Party,25353,CHANDRA,Felly,N,N
WA,ASXP,Sex Party,25315,COLEMAN,Mark,N,N
WA,GRN,The Greens (WA),25309,CULLITY,Judith,N,N
WA,GRN,The Greens (WA),25305,CUNNINGHAM,Christine,N,N
WA,SPA,Secular Party of Australia,25332,CUTHBERT,Simon Andrew,N,N
WA,NP,The Nationals,25335,DE GRUSSA,Colin Stephen,N,N
WA,ODR,Outdoor Recreation Party (Stop The Greens),25323,DE LIMA,Joaquim,N,N
WA,SMK,Smokers Rights,25321,DI RADO,Daniel Jay,N,N
WA,SPRT,Australian Sports Party,25326,DROPULICH,Wayne,N,N
WA,VEP,Voluntary Euthanasia Party,25325,DUFFIELD,Jim,N,N
WA,BRP,Mutual Party,25352,FELS,Anthony James,N,N
WA,DEM,Australian Democrats,25280,FERNANDEZ,Chris,N,N
WA,ODR,Outdoor Recreation Party (Stop The Greens),25322,FISHLOCK,David,N,N
WA,RUA,Rise Up Australia Party,25282,FOREMAN,Jane Elizabeth,N,N
WA,LDP,Liberal Democrats,25318,FRYAR,Jim,N,N
WA,DLP,DLP Democratic Labour,25340,GOOD,Adrian,N,N
WA,LDP,Liberal Democrats,25319,HAMILTON,Neil,N,N
WA,PUP,Palmer United Party,25285,HEADLAND,Desmond John,N,N
WA,FFP,Family First Party,25337,HENG,Henry,N,N
WA,ALP,Australian Labor Party,25330,HILL,Shane,N,N
WA,KAP,Katter's Australian Party,25349,HODDINOTT,Susan,N,N
WA,RPA,Republican Party of Australia,25351,HOLLICK,Rohan,N,N
WA,AMEP,Australian Motoring Enthusiast Party,25342,HOWLETT,Richie,N,N
WA,GRN,The Greens (WA),25306,JAMES,Ian,N,N
WA,,,25357,JAMES,Verity,N,N
WA,SAL,Socialist Alliance,25288,JENKINS,Chris,N,N
WA,LP,Liberal,25298,JOHNSTON,David,N,Y
WA,SMK,Smokers Rights,25320,KATZ-BARBER,Max,N,N
WA,DLP,DLP Democratic Labour,25341,KIERNAN,Cathy,N,N
WA,TCS,Freedom and Prosperity Party,25338,KOUTALIANOS,Bill,N,N
WA,SPRT,Australian Sports Party,25327,LACKOVIC,Al,N,N
WA,AJP,Animal Justice Party,25302,LOVE,Katrina,N,N
WA,GRN,The Greens (WA),25304,LUDLAM,Scott,N,Y
WA,AFLP,Australian Fishing and Lifestyle Party,25346,McCARTHY,Daniel,N,N
WA,WKP,The Wikileaks Party,25312,MESZAROS,Tibor,N,N
WA,AUC,Australian Christians,25292,MORAN,Ray,N,N
WA,AUC,Australian Christians,25293,MOSELEY,Justin,N,N
WA,HMP,Help End Marijuana Prohibition (HEMP) Party,25294,MOYLAN,James M,N,N
WA,HMP,Help End Marijuana Prohibition (HEMP) Party,25295,MOYLAN,Tayla,N,N
WA,IND,Independent,25310,MUBARAK,Kim,N,N
WA,WKP,The Wikileaks Party,25313,NICOL,Lucy,N,N
WA,GRN,The Greens (WA),25308,NIELSEN-HARVEY,Sarah,N,N
WA,VEP,Voluntary Euthanasia Party,25324,NITSCHKE,Philip,N,N
WA,VCE,Australian Voice Party,25290,PARKES,Brian W,N,N
WA,ASP,Shooters and Fishers,25317,PARKES,John,N,N
WA,ASXP,Sex Party,25314,PATTEN,Fiona,N,N
WA,ALP,Australian Labor Party,25329,PRATT,Louise,N,Y
WA,LP,Liberal,25300,REYNOLDS,Linda,N,N
WA,FFP,Family First Party,25336,ROSE,Linda,N,N
WA,BAP,Building Australia Party,25345,SMEE,Daniel Ross,N,N
WA,GRN,The Greens (WA),25307,STEELE-JOHN,Jordon,N,N
WA,SPP,#Sustainable Population Party,25354,STRACHAN,Peter,N,N
WA,AJP,Animal Justice Party,25303,SUTTON,Alicia,N,N
WA,PUP,Palmer United Party,25286,TERBLANCHE,Chamonix,N,N
WA,DEM,Australian Democrats,25281,THIEL,William,N,N
WA,SPA,Secular Party of Australia,25333,THOMPSON,Andrew,N,N
WA,IND,Independent,25289,VAN LIESHOUT,Teresa,N,N
WA,NP,The Nationals,25334,VAN STYN,Shane,N,N
WA,PUP,Palmer United Party,25284,WANG,Zhenya,N,N
WA,,,25356,WOOLF,Russell,N,N
WA,AFLP,Australian Fishing and Lifestyle Party,25347,WYATT,Suzzanne,N,N
WA,AMEP,Australian Motoring Enthusiast Party,25343,ZANDVLIET,Rob,N,N
