2014 WA Senate Election Senate First Preferences By State By Vote Type  [Please Note: These results are not final. Event:17875 Phase:PostElection Generated:2014-05-01T15:06:00 Cycle:3d971857-c68b-4930-b2e7-7f7a271e3b23 Created:2014-05-01T15:05:42 Environment:PROD Site:CDC Server:DB01 Version:9.1.9.16053]
StateAb,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyName,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
WA,A,25423,0,A Ticket Votes,The Wikileaks Party,5419,673,93,297,506,6988
WA,A,25312,1,"MESZAROS, Tibor",The Wikileaks Party,709,94,11,44,89,947
WA,A,25313,2,"NICOL, Lucy",The Wikileaks Party,88,12,1,7,19,127
WA,A,0,9998,Unapportioned,The Wikileaks Party,0,0,0,0,0,0
WA,B,25418,0,B Ticket Votes,The Nationals,29587,3050,225,972,2829,36663
WA,B,25334,1,"VAN STYN, Shane",The Nationals,1367,179,3,46,285,1880
WA,B,25335,2,"DE GRUSSA, Colin Stephen",The Nationals,197,24,0,11,43,275
WA,B,0,9998,Unapportioned,The Nationals,0,0,0,0,0,0
WA,C,25408,0,C Ticket Votes,,3890,379,34,194,698,5195
WA,C,25356,1,"WOOLF, Russell",,1744,141,8,83,286,2262
WA,C,25357,2,"JAMES, Verity",,240,15,0,11,56,322
WA,C,0,9998,Unapportioned,,0,0,0,0,0,0
WA,D,25404,0,D Ticket Votes,Australian Democrats,2326,213,31,161,315,3046
WA,D,25280,1,"FERNANDEZ, Chris",Australian Democrats,321,27,0,19,34,401
WA,D,25281,2,"THIEL, William",Australian Democrats,35,3,0,2,5,45
WA,D,0,9998,Unapportioned,Australian Democrats,0,0,0,0,0,0
WA,E,25391,0,E Ticket Votes,Pirate Party,4591,674,76,203,313,5857
WA,E,25296,1,"BOYD, Fletcher",Pirate Party,274,34,3,19,16,346
WA,E,25297,2,"ALLEN, Michelle",Pirate Party,56,3,1,2,5,67
WA,E,0,9998,Unapportioned,Pirate Party,0,0,0,0,0,0
