2014 WA Senate Election Senate Group Voting Tickets [Event:17875 Phase:FinalResults Generated:2014-05-28T13:16:47 Cycle:b2873105-897b-4558-a9e2-d17a83d40911 Created:2014-05-28T11:03:19 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.9.16053]
State,OwnerGroupID,OwnerGroupNm,OwnerTicket,TicketNo,CandidateID,CandidateTicket,Surname,GivenNm,BallotPosition,PartyAb,PartyNm,PreferenceNo
WA,1270,The Wikileaks Party,A,1,25312,A,MESZAROS,Tibor,1,WKP,The Wikileaks Party,1
WA,1270,The Wikileaks Party,A,1,25313,A,NICOL,Lucy,2,WKP,The Wikileaks Party,2
WA,1270,The Wikileaks Party,A,1,25334,B,VAN STYN,Shane,1,NP,The Nationals,42
WA,1270,The Wikileaks Party,A,1,25335,B,DE GRUSSA,Colin Stephen,2,NP,The Nationals,43
WA,1270,The Wikileaks Party,A,1,25356,C,WOOLF,Russell,1,,,48
WA,1270,The Wikileaks Party,A,1,25357,C,JAMES,Verity,2,,,49
WA,1270,The Wikileaks Party,A,1,25280,D,FERNANDEZ,Chris,1,DEM,Australian Democrats,26
WA,1270,The Wikileaks Party,A,1,25281,D,THIEL,William,2,DEM,Australian Democrats,27
WA,1270,The Wikileaks Party,A,1,25296,E,BOYD,Fletcher,1,PIR,Pirate Party,12
WA,1270,The Wikileaks Party,A,1,25297,E,ALLEN,Michelle,2,PIR,Pirate Party,15
WA,1270,The Wikileaks Party,A,1,25328,F,BULLOCK,Joe,1,ALP,Australian Labor Party,32
WA,1270,The Wikileaks Party,A,1,25329,F,PRATT,Louise,2,ALP,Australian Labor Party,10
WA,1270,The Wikileaks Party,A,1,25330,F,HILL,Shane,3,ALP,Australian Labor Party,33
WA,1270,The Wikileaks Party,A,1,25331,F,ANDRIC,Klara,4,ALP,Australian Labor Party,34
WA,1270,The Wikileaks Party,A,1,25342,G,HOWLETT,Richie,1,AMEP,Australian Motoring Enthusiast Party,63
WA,1270,The Wikileaks Party,A,1,25343,G,ZANDVLIET,Rob,2,AMEP,Australian Motoring Enthusiast Party,64
WA,1270,The Wikileaks Party,A,1,25338,H,KOUTALIANOS,Bill,1,TCS,Freedom and Prosperity Party,61
WA,1270,The Wikileaks Party,A,1,25339,H,ASHBY,Leon,2,TCS,Freedom and Prosperity Party,62
