2016 Federal Election Senate Candidates [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-07-15T21:59:15 Cycle:04bf79a4-01ca-4695-a5da-c15307517334 Created:2016-07-15T21:55:57 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]
StateAb,PartyAb,PartyNm,CandidateID,Surname,GivenNm,Elected,HistoricElected
TAS,LP,Liberal,28580,ABETZ,Eric,N,Y
VIC,GRN,The Greens,28092,ALDEN,Jennifer,N,N
SA,IND,Independent,28869,ALI,Mohammad,N,N
TAS,ASP,"Shooters, Fishers and Farmers",29288,ALLEN,Matthew,N,N
SA,ALP,Australian Labor Party,29512,ALLISON,Michael,N,N
TAS,LDP,Liberal Democrats,28385,ALSTON,Ian,N,N
QLD,GRN,The Greens,29451,ANDERSON,Fiona,N,N
NSW,ALA,Australian Liberty Alliance,28799,ANDERSON,Gary,N,N
QLD,IND,Independent,29606,ANDERSON,Marshal,N,N
QLD,GRN,The Greens,29457,ANDERSON,Meg,N,N
VIC,ARTS,The Arts Party,28537,ANDREW,Maureen J,N,N
QLD,ON,Pauline Hanson's One Nation,29471,ANNING,Fraser,N,N
VIC,AUC,Australian Christians,28843,ARAPOGLOU,Eleni,N,N
VIC,IND,Independent,29523,ARASU,Karthik,N,N
VIC,SPP,Sustainable Australia,29169,ARMSTRONG,Steven,N,N
NSW,IND,Independent,28162,ASH,David,N,N
VIC,REP,Renewable Energy Party,29148,ASKEY,Graham,N,N
SA,CDP,Christian Democratic Party (Fred Nile Group),28859,ATTIA,Matt,N,N
NSW,CDP,Christian Democratic Party (Fred Nile Group),28335,AVASALU,Rhonda,N,N
WA,LP,Liberal,28497,BACK,Chris,N,Y
ACT,ASXP,Australian Sex Party,29390,BAILEY,Steven,N,N
VIC,FFP,Family First Party,28504,BAIN,Peter Timothy,N,N
TAS,AJP,Animal Justice Party,29567,BAKER,Alison,N,N
TAS,DHJP,Derryn Hinch's Justice Party,28601,BAKER,Daniel,N,N
SA,FLUX,VOTEFLUX.ORG | Upgrade Democracy!,29530,BAKER,Jeff,N,N
WA,HMP,Marijuana (HEMP) Party,29607,BALDERSTONE,Michael,N,N
WA,GRN,The Greens (WA),28250,BALDOCK,Michael,N,N
NSW,ALP,Labor,28814,BANDARA,Jagath,N,N
NT,GRN,The Greens,28546,BANNISTER,Kathy,N,N
NT,CEC,Citizens Electoral Council,28004,BARRY,Ian,N,N
QLD,GRN,The Greens,29443,BARTLETT,Andrew,N,N
QLD,FFP,Family First,29427,BAYNES,Sue,N,N
QLD,IND,Independent,29416,BEATTIE,Greg,N,N
NSW,KAP,Katter's Australian Party,28384,BELCASTRO,Anthony Geno,N,N
QLD,SPA,Secular Party of Australia,28221,BELL,Trevor,N,N
NSW,,,27983,BENNETT,Colin,N,N
NSW,ADVP,Veterans Party,28826,BENNIE,Raymond,N,N
SA,LP,Liberal,29580,BERNARDI,Cory,N,Y
NSW,ON,Pauline Hanson's One Nation,28322,BERNIER,Christine Pamela,N,N
